time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
26.25,5.54531,-5.56654e-05,0.00153442,0.285665,-0.000597279,-2.24511e-05,0.140855,-0.00111304,0.0437649,1072.87,865.076
4.89,8.44208,4.94807e-05,-0.000130998,0.0280629,0.000104697,2.30411e-05,0.156518,1.73435e-05,0.048571,-73.1089,1164.11
86.12,5.55502,-0.000726473,0.00245424,0.253486,-0.00119237,-6.34621e-05,0.0836499,0.000507056,0.026076,1171.21,383.484
16.2,8.32977,0.000476287,-0.00145164,1.66448,0.00285973,0.000542481,0.161145,-0.000713983,0.0501385,-1091.72,2357.38
28.53,8.32385,0.000152438,-0.00465876,17.0857,0.000398941,0.000406963,0.689306,0.00216123,0.216148,-6459.87,5631.21
42.03,5.54917,-2.73584e-05,-0.00394875,1.59323,0.000355304,-3.83829e-06,0.139545,-0.0015247,0.0433878,2549.3,923.773
7.18,13.8496,-0.00267495,0.00121194,2.01691,-0.00197786,0.000588628,0.0826765,0.000301708,0.0262351,-649.809,3289.06
63.45,5.55591,-0.000273224,0.0080849,5.61205,-0.000764433,-0.000403335,0.110402,-0.00114141,0.0343252,4921.65,-750.279
13.45,5.54819,-7.8499e-05,0.00220734,0.00578289,-5.31114e-05,-5.67097e-06,0.156416,-0.00152081,0.0485551,-15.0622,1010.18
3.64,13.1145,0.000152573,0.00141861,0.00349376,-0.000705577,-1.86483e-06,0.159925,-0.000305821,0.0496279,-80.1219,1061.05
18.43,5.55318,0.000695701,-0.00829186,3.91412,0.00256884,6.13202e-05,0.192027,0.00167382,0.059644,-3950.91,1597.02
5.27,5.5405,0.000278633,-0.0014809,2.45462,0.000509926,0.000340344,0.160722,0.00187235,0.0497963,-2481.57,2057.73
48.78,8.32969,-6.68761e-05,-0.000597794,0.179279,0.000580626,-0.000162078,0.206015,-0.000130587,0.0639045,-345.66,956.688
6.69,13.9803,-0.000187239,-0.00446611,1.14353,-0.00049775,0.000354542,0.149243,0.000428774,0.0462067,-1117.03,2365.71
37.74,13.8949,-0.00213159,0.00344384,9.16188,0.000282459,-0.000385293,0.10414,-0.00591447,0.0325059,5298.53,-514.871
52.61,5.5613,-0.0194978,0.0010697,279.055,0.00595754,-0.0452929,-0.0268623,0.0431277,0.0041657,-2285.45,-5284.5
63.79,5.56222,-0.0016083,0.00883329,0.215807,-0.00247056,1.87158e-05,0.116648,-0.00163758,0.0362784,976.239,957.935
19.67,13.8983,-0.0050969,0.00643734,41.5284,-0.00574856,0.00149674,0.800997,-0.00167557,0.251853,-7277.26,5246.37
35.65,5.57209,0.0319987,0.00177808,423.035,-0.00419432,0.0465633,0.857795,-0.0460349,0.256599,4049.75,6458.31
90.49,5.5511,0.000248992,0.00290706,22.9503,-0.000631946,0.000643023,0.696495,0.00384633,0.218147,-6714.04,4771.43
23.17,13.8891,-0.00504906,0.0122244,64.4943,-0.00506769,0.00371561,1.50446,-0.000833624,0.489253,-6704.99,6056.35
91.63,5.55061,-0.000282919,-0.00768576,6.43501,0.00184103,-1.09108e-06,0.303285,0.00151438,0.0941946,-4970.31,2411.13
3.03,5.66005,-0.00035772,2.17037e-07,0.0570409,1.34499e-05,4.70988e-05,0.155387,-2.82459e-05,0.0482469,-49.2794,1198.73
59.17,5.55783,0.000775117,-0.00476826,0.327818,0.00185196,0.000163983,0.168298,0.000368498,0.0521771,-237.78,1920.58
31.84,8.33026,0.000244158,-0.0107729,2.56063,0.00277792,-0.00073696,0.0822031,0.00153539,0.0253135,1167.86,-3179.63
8.48,13.918,-0.00336009,0.00938361,34.2109,-0.0041613,0.00152417,0.817432,-0.00347729,0.2571,-5980.63,4176.99
31.27,8.33113,-0.000511601,0.0125425,20.6343,-0.00179402,0.00104933,0.805171,-9.22825e-05,0.253438,-5198.65,5082.76
41.36,5.54986,-0.000524235,0.0103967,0.0359442,-0.00187622,8.98116e-06,0.155919,0.00115142,0.0483733,-331.929,1070.8
47.52,13.8764,0.000234751,-0.00512382,0.82097,0.00127192,0.000292698,0.118103,0.00122835,0.03674,-1047.63,1992.53
35.62,13.8926,-0.00750554,0.0130437,60.7661,-0.00388877,-0.000865973,0.0123648,-0.00391619,0.00460205,5806.55,-427.494
25.1,5.55177,-5.82464e-05,0.003156,0.0848797,-0.000742303,-5.09263e-05,0.153675,3.09403e-05,0.0476811,423.788,848.237
